#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1391190,20283540,LA67_gp02,LA67_gp02,MP48_002,-,-,-,Ner-like protein,protein-coding,-,-,-,Ner-like protein,20200912,-
1391190,20283541,LA67_gp03,LA67_gp03,MP48_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283542,LA67_gp04,LA67_gp04,MP48_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283543,LA67_gp05,LA67_gp05,MP48_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283544,LA67_gp06,LA67_gp06,MP48_006,-,-,-,transposase A,protein-coding,-,-,-,transposase A,20200629,-
1391190,20283545,LA67_gp07,LA67_gp07,MP48_007,-,-,-,DNA transposition protein,protein-coding,-,-,-,DNA transposition protein,20200912,-
1391190,20283546,LA67_gp08,LA67_gp08,MP48_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283547,LA67_gp09,LA67_gp09,MP48_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283548,LA67_gp10,LA67_gp10,MP48_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283549,LA67_gp11,LA67_gp11,MP48_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283550,LA67_gp12,LA67_gp12,MP48_0013,-,-,-,host nuclease inhibitor protein,protein-coding,-,-,-,host nuclease inhibitor protein,20200629,-
1391190,20283551,LA67_gp13,LA67_gp13,MP48_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283552,LA67_gp15,LA67_gp15,MP48_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283553,LA67_gp14,LA67_gp14,MP48_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283554,LA67_gp16,LA67_gp16,MP48_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283555,LA67_gp17,LA67_gp17,MP48_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1391190,20283556,LA67_gp18,LA67_gp18,MP48_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1391190,20283557,LA67_gp19,LA67_gp19,MP48_0019a,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283558,LA67_gp20,LA67_gp20,MP48_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283559,LA67_gp21,LA67_gp21,MP48_0021,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1391190,20283560,LA67_gp22,LA67_gp22,MP48_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283561,LA67_gp23,LA67_gp23,MP48_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283562,LA67_gp24,LA67_gp24,MP48_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1391190,20283563,LA67_gp25,LA67_gp25,MP48_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283564,LA67_gp26,LA67_gp26,MP48_0027,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1391190,20283565,LA67_gp27,LA67_gp27,MP48_0028,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20200629,-
1391190,20283566,LA67_gp28,LA67_gp28,MP48_0029,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20200629,-
1391190,20283567,LA67_gp29,LA67_gp29,MP48_0029b,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283568,LA67_gp30,LA67_gp30,MP48_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283569,LA67_gp31,LA67_gp31,MP48_0033,-,-,-,protease (I) and scaffold (Z) protein,protein-coding,-,-,-,protease (I) and scaffold (Z) protein,20200629,-
1391190,20283570,LA67_gp32,LA67_gp32,MP48_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1391190,20283571,LA67_gp33,LA67_gp33,MP48_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283572,LA67_gp34,LA67_gp34,MP48_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283573,LA67_gp35,LA67_gp35,MP48_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1391190,20283574,LA67_gp36,LA67_gp36,MP48_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283575,LA67_gp37,LA67_gp37,MP48_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283576,LA67_gp38,LA67_gp38,MP48_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391190,20283577,LA67_gp39,LA67_gp39,MP48_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
