#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2303,2828183,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Thermoplasma acidophila.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210125,-
2303,4250561,pTA1_12,pTA1_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150520,-
2303,4250562,pTA1_13,pTA1_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150520,-
2303,4250563,pTA1_14,pTA1_14,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,-,20150520,-
2303,4250564,pTA1_15,pTA1_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150520,-
2303,4250565,pTA1_16,pTA1_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150520,-
2303,4250566,pTA1_17,pTA1_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150520,-
2303,4250567,pTA1_18,pTA1_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150520,-
2303,4250568,CDC6,pTA1_01,-,-,-,-,Cell Division Control protein 6 homologue,protein-coding,-,-,-,-,20160910,-
2303,4250569,pTA1_02,pTA1_02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150520,-
2303,4250570,pTA1_03,pTA1_03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150520,-
2303,4250571,pTA1_04,pTA1_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150520,-
2303,4250572,pTA1_05,pTA1_05,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,-,20150520,-
2303,4250573,pTA1_06,pTA1_06,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,-,20150520,-
2303,4250574,pTA1_07,pTA1_07,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,-,20150520,-
2303,4250575,pTA1_08,pTA1_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150520,-
2303,4250576,pTA1_09,pTA1_09,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,-,20150520,-
2303,4250577,pTA1_10,pTA1_10,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,-,20160910,-
2303,4250578,pTA1_11,pTA1_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20150520,-
