#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5857,7668573,cox1,PlfroM_p2,-,-,MT,-,cytochrome oxidase subunit 1,protein-coding,-,-,-,cytochrome oxidase subunit 1,20210226,-
5857,7668574,cytb,PlfroM_p3,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20210226,-
5857,7668575,cox3,PlfroM_p1,-,-,MT,-,cytochrome oxidase subunit 3,protein-coding,-,-,-,cytochrome oxidase subunit 3,20210226,-
5857,24265315,AK88_00001,AK88_00001,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265316,AK88_00002,AK88_00002,-,-,Unknown,-,threonine-tRNA ligase,protein-coding,-,-,-,threonine-tRNA ligase,20210301,-
5857,24265317,AK88_00003,AK88_00003,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265318,AK88_00004,AK88_00004,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265319,AK88_00005,AK88_00005,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265320,AK88_00006,AK88_00006,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265321,AK88_00007,AK88_00007,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265322,AK88_00008,AK88_00008,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265323,AK88_00009,AK88_00009,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265324,AK88_00010,AK88_00010,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265325,AK88_00011,AK88_00011,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265326,AK88_00012,AK88_00012,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265327,AK88_00013,AK88_00013,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265328,AK88_00014,AK88_00014,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265329,AK88_00015,AK88_00015,-,-,Unknown,-,tRNA (guanine-N(7)-)-methyltransferase,protein-coding,-,-,-,tRNA (guanine-N(7)-)-methyltransferase,20210301,-
5857,24265330,AK88_00016,AK88_00016,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265331,AK88_00017,AK88_00017,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265332,AK88_00018,AK88_00018,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265333,AK88_00019,AK88_00019,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265334,AK88_00020,AK88_00020,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265335,AK88_00021,AK88_00021,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265336,AK88_00022,AK88_00022,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265337,AK88_00023,AK88_00023,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265338,AK88_00024,AK88_00024,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265339,AK88_00025,AK88_00025,-,-,Unknown,-,"prefoldin, alpha subunit",protein-coding,-,-,-,"prefoldin, alpha subunit",20210301,-
5857,24265340,AK88_00026,AK88_00026,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265341,AK88_00027,AK88_00027,-,-,Unknown,-,diphosphate-fructose-6-phosphate 1-phosphotransferase,protein-coding,-,-,-,diphosphate-fructose-6-phosphate 1-phosphotransferase,20210301,-
5857,24265342,AK88_00028,AK88_00028,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
5857,24265343,AK88_00029,AK88_00029,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210301,-
