#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235647,16835520,P764_gp02,P764_gp02,PHL060L00_02,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201221,-
1235647,16835521,P764_gp03,P764_gp03,PHL060L00_03,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1235647,16835522,P764_gp04,P764_gp04,PHL060L00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835523,P764_gp05,P764_gp05,PHL060L00_05,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201221,-
1235647,16835524,P764_gp06,P764_gp06,PHL060L00_06,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201221,-
1235647,16835525,P764_gp07,P764_gp07,PHL060L00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835526,P764_gp08,P764_gp08,PHL060L00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835527,P764_gp09,P764_gp09,PHL060L00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835528,P764_gp10,P764_gp10,PHL060L00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835529,P764_gp11,P764_gp11,PHL060L00_11,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1235647,16835530,P764_gp12,P764_gp12,PHL060L00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835531,P764_gp13,P764_gp13,PHL060L00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835532,P764_gp14,P764_gp14,PHL060L00_14,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1235647,16835533,P764_gp15,P764_gp15,PHL060L00_15,-,-,-,putative minor tail subunit,protein-coding,-,-,-,putative minor tail subunit,20201221,-
1235647,16835534,P764_gp16,P764_gp16,PHL060L00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1235647,16835535,P764_gp17,P764_gp17,PHL060L00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835536,P764_gp18,P764_gp18,PHL060L00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835537,P764_gp19,P764_gp19,PHL060L00_19,-,-,-,putative collagen-like protein,protein-coding,-,-,-,putative collagen-like protein,20201221,-
1235647,16835538,P764_gp20,P764_gp20,PHL060L00_20,-,-,-,putative amidase,protein-coding,-,-,-,putative amidase,20201221,-
1235647,16835539,P764_gp21,P764_gp21,PHL060L00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1235647,16835540,P764_gp22,P764_gp22,PHL060L00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835541,P764_gp23,P764_gp23,PHL060L00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1235647,16835542,P764_gp24,P764_gp24,PHL060L00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835543,P764_gp25,P764_gp25,PHL060L00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835544,P764_gp26,P764_gp26,PHL060L00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835545,P764_gp27,P764_gp27,PHL060L00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835546,P764_gp28,P764_gp28,PHL060L00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835547,P764_gp29,P764_gp29,PHL060L00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235647,16835548,P764_gp30,P764_gp30,PHL060L00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1235647,16835549,P764_gp31,P764_gp31,PHL060L00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1235647,16835550,P764_gp32,P764_gp32,PHL060L00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
