#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235654,16835233,P752_gp02,P752_gp02,PHL112N00_02,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201221,-
1235654,16835234,P752_gp03,P752_gp03,PHL112N00_03,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1235654,16835235,P752_gp04,P752_gp04,PHL112N00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835236,P752_gp05,P752_gp05,PHL112N00_05,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201221,-
1235654,16835237,P752_gp06,P752_gp06,PHL112N00_06,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201221,-
1235654,16835238,P752_gp07,P752_gp07,PHL112N00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835239,P752_gp08,P752_gp08,PHL112N00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835240,P752_gp09,P752_gp09,PHL112N00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835241,P752_gp10,P752_gp10,PHL112N00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835242,P752_gp11,P752_gp11,PHL112N00_11,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1235654,16835243,P752_gp12,P752_gp12,PHL112N00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835244,P752_gp13,P752_gp13,PHL112N00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835245,P752_gp14,P752_gp14,PHL112N00_14,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1235654,16835246,P752_gp15,P752_gp15,PHL112N00_15,-,-,-,putative minor tail subunit,protein-coding,-,-,-,putative minor tail subunit,20201221,-
1235654,16835247,P752_gp16,P752_gp16,PHL112N00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1235654,16835248,P752_gp17,P752_gp17,PHL112N00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835249,P752_gp18,P752_gp18,PHL112N00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835250,P752_gp19,P752_gp19,PHL112N00_19,-,-,-,putative collagen-like protein,protein-coding,-,-,-,putative collagen-like protein,20201221,-
1235654,16835251,P752_gp20,P752_gp20,PHL112N00_20,-,-,-,putative amidase,protein-coding,-,-,-,putative amidase,20201221,-
1235654,16835252,P752_gp21,P752_gp21,PHL112N00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1235654,16835253,P752_gp22,P752_gp22,PHL112N00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835254,P752_gp23,P752_gp23,PHL112N00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1235654,16835255,P752_gp24,P752_gp24,PHL112N00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835256,P752_gp25,P752_gp25,PHL112N00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835257,P752_gp26,P752_gp26,PHL112N00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835258,P752_gp27,P752_gp27,PHL112N00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835259,P752_gp28,P752_gp28,PHL112N00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235654,16835260,P752_gp29,P752_gp29,PHL112N00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
