#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656515,56132771,H1N72_gp02,H1N72_gp02,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200829,-
2656515,56132772,H1N72_gp03,H1N72_gp03,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210424,-
2656515,56132773,H1N72_gp04,H1N72_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132774,H1N72_gp05,H1N72_gp05,-,-,-,-,DNA polymerase B region protein,protein-coding,-,-,-,DNA polymerase B region protein,20200829,-
2656515,56132775,H1N72_gp06,H1N72_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132776,H1N72_gp07,H1N72_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656515,56132777,H1N72_gp08,H1N72_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132778,H1N72_gp09,H1N72_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132779,H1N72_gp10,H1N72_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132780,H1N72_gp11,H1N72_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132781,H1N72_gp12,H1N72_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132782,H1N72_gp13,H1N72_gp13,-,-,-,-,"ribonucleotide reductase of class III (anaerobic), large subunit",protein-coding,-,-,-,"ribonucleotide reductase of class III (anaerobic), large subunit",20200724,-
2656515,56132783,H1N72_gp14,H1N72_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132784,H1N72_gp15,H1N72_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132785,H1N72_gp16,H1N72_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132786,H1N72_gp17,H1N72_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656515,56132787,H1N72_gp18,H1N72_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132788,H1N72_gp19,H1N72_gp19,-,-,-,-,glutaredoxin-like protein,protein-coding,-,-,-,glutaredoxin-like protein,20210424,-
2656515,56132789,H1N72_gp20,H1N72_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132790,H1N72_gp21,H1N72_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656515,56132791,H1N72_gp22,H1N72_gp22,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200724,-
2656515,56132792,H1N72_gp23,H1N72_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
