#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034111,40233797,140,FGG27_gp140,LITTLEE_140,-,-,-,primase/polymerase,protein-coding,-,-,-,primase/polymerase,20210406,-
1034111,40233798,141,FGG27_gp141,LITTLEE_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233799,142,FGG27_gp142,LITTLEE_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233800,143,FGG27_gp143,LITTLEE_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233801,144,FGG27_gp144,LITTLEE_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233802,145,FGG27_gp145,LITTLEE_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233803,146,FGG27_gp146,LITTLEE_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233804,147,FGG27_gp147,LITTLEE_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233805,148,FGG27_gp148,LITTLEE_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233806,149,FGG27_gp149,LITTLEE_149,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20200909,-
1034111,40233807,150,FGG27_gp150,LITTLEE_150,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200909,-
1034111,40233808,151,FGG27_gp151,LITTLEE_151,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200909,-
1034111,40233809,152,FGG27_gp152,LITTLEE_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233810,153,FGG27_gp153,LITTLEE_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233811,154,FGG27_gp154,LITTLEE_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233812,155,FGG27_gp155,LITTLEE_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233813,156,FGG27_gp156,LITTLEE_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233814,157,FGG27_gp157,LITTLEE_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233815,158,FGG27_gp158,LITTLEE_158,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200909,-
