#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034111,40233713,56,FGG27_gp056,LITTLEE_56,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20200909,-
1034111,40233714,57,FGG27_gp057,LITTLEE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233715,58,FGG27_gp058,LITTLEE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233716,59,FGG27_gp059,LITTLEE_59,-,-,-,Lsr2,protein-coding,-,-,-,Lsr2,20200909,-
1034111,40233717,60,FGG27_gp060,LITTLEE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233718,61,FGG27_gp061,LITTLEE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233719,62,FGG27_gp062,LITTLEE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233720,63,FGG27_gp063,LITTLEE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233721,64,FGG27_gp064,LITTLEE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233722,65,FGG27_gp065,LITTLEE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233723,66,FGG27_gp066,LITTLEE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233724,67,FGG27_gp067,LITTLEE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233725,68,FGG27_gp068,LITTLEE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233726,69,FGG27_gp069,LITTLEE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233727,70,FGG27_gp070,LITTLEE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233728,71,FGG27_gp071,LITTLEE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233729,72,FGG27_gp072,LITTLEE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233730,73,FGG27_gp073,LITTLEE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233731,74,FGG27_gp074,LITTLEE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233732,75,FGG27_gp075,LITTLEE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233733,76,FGG27_gp076,LITTLEE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233734,77,FGG27_gp077,LITTLEE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233735,78,FGG27_gp078,LITTLEE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233736,79,FGG27_gp079,LITTLEE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233737,80,FGG27_gp080,LITTLEE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233738,81,FGG27_gp081,LITTLEE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233739,82,FGG27_gp082,LITTLEE_82,-,-,-,integrase,protein-coding,-,-,-,integrase,20200909,-
1034111,40233740,83,FGG27_gp083,LITTLEE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233741,84,FGG27_gp084,LITTLEE_84,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20200909,-
1034111,40233742,85,FGG27_gp085,LITTLEE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233743,86,FGG27_gp086,LITTLEE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233744,87,FGG27_gp087,LITTLEE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233745,88,FGG27_gp088,LITTLEE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233746,89,FGG27_gp089,LITTLEE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233747,90,FGG27_gp090,LITTLEE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233748,91,FGG27_gp091,LITTLEE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233749,92,FGG27_gp092,LITTLEE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233750,93,FGG27_gp093,LITTLEE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233751,94,FGG27_gp094,LITTLEE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233752,95,FGG27_gp095,LITTLEE_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
