#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1273754,16194551,24,M193_gp024,HRTV7_24,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20200909,-
1273754,16194552,102,M193_gp072,HRTV7_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194553,47,M193_gp047,HRTV7_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194554,101,M193_gp073,HRTV7_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194555,18,M193_gp018,HRTV7_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194556,81,M193_gp093,HRTV7_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194557,23,M193_gp023,HRTV7_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194558,35,M193_gp035,HRTV7_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194559,104,M193_gp070,HRTV7_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194560,71,M193_gp103,HRTV7_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194561,95,M193_gp079,HRTV7_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194562,52,M193_gp052,HRTV7_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194563,32,M193_gp032,HRTV7_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194564,16,M193_gp016,HRTV7_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194565,37,M193_gp037,HRTV7_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194566,7,M193_gp007,HRTV7_7,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200909,-
1273754,16194567,43,M193_gp043,HRTV7_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194568,97,M193_gp077,HRTV7_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194569,25,M193_gp025,HRTV7_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194570,50,M193_gp050,HRTV7_50,-,-,-,HNH protein,protein-coding,-,-,-,HNH protein,20200909,-
1273754,16194571,58,M193_gp058,HRTV7_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194572,92,M193_gp082,HRTV7_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194573,89,M193_gp085,HRTV7_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194574,84,M193_gp090,HRTV7_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194575,27,M193_gp027,HRTV7_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194576,4,M193_gp004,HRTV7_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194577,26,M193_gp026,HRTV7_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194578,70,M193_gp104,HRTV7_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194579,48,M193_gp048,HRTV7_48,-,-,-,Ser/Thr and Tyr protein phosphatase,protein-coding,-,-,-,Ser/Thr and Tyr protein phosphatase,20200909,-
1273754,16194580,82,M193_gp092,HRTV7_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194581,78,M193_gp096,HRTV7_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194582,40,M193_gp040,HRTV7_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194583,28,M193_gp028,HRTV7_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194584,99,M193_gp075,HRTV7_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194585,90,M193_gp084,HRTV7_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194586,66,M193_gp066,HRTV7_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194587,38,M193_gp038,HRTV7_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194588,86,M193_gp088,HRTV7_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194589,33,M193_gp033,HRTV7_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194590,73,M193_gp101,HRTV7_73,-,-,-,integrase,protein-coding,-,-,-,integrase,20200909,-
1273754,16194591,41,M193_gp041,HRTV7_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194592,76,M193_gp098,HRTV7_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194593,72,M193_gp102,HRTV7_72,-,-,-,ERCC4-type nuclease,protein-coding,-,-,-,ERCC4-type nuclease,20200909,-
1273754,16194594,20,M193_gp020,HRTV7_20,-,-,-,tail sheath,protein-coding,-,-,-,tail sheath,20200909,-
1273754,16194595,87,M193_gp087,HRTV7_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194596,103,M193_gp071,HRTV7_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1273754,16194597,34,M193_gp034,HRTV7_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
