#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1923475,30854779,BWT64_gp2,BWT64_gp2,-,-,-,-,hypothetical protein 2,protein-coding,-,-,-,hypothetical protein 2,20180817,-
1923475,30854780,BWT64_gp1,BWT64_gp1,-,-,-,-,hypothetical protein 1,protein-coding,-,-,-,hypothetical protein 1,20180817,-
1923475,30881299,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20190603,-
