#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1654884,26775495,SP21_2,SP21_2,-,-,-,-,single strand binding protein,protein-coding,-,-,-,single strand binding protein,20201221,-
1654884,26775496,SP21_3,SP21_3,-,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20201221,-
1654884,26775497,SP21_4,SP21_4,-,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201221,-
1654884,26775498,SP21_5,SP21_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775499,SP21_6,SP21_6,-,-,-,-,putative recombinase,protein-coding,-,-,-,putative recombinase,20201221,-
1654884,26775500,SP21_7,SP21_7,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1654884,26775501,SP21_8,SP21_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775502,SP21_9,SP21_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775503,SP21_10,SP21_10,-,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20201221,-
1654884,26775504,SP21_11,SP21_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775505,SP21_12,SP21_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775506,SP21_13,SP21_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775507,SP21_14,SP21_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654884,26775508,SP21_15,SP21_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
