#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887641,29080423,159,BIZ77_gp020,SEA_BANTAM_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080424,160,BIZ77_gp019,SEA_BANTAM_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080425,161,BIZ77_gp018,SEA_BANTAM_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080426,162,BIZ77_gp017,SEA_BANTAM_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080427,163,BIZ77_gp016,SEA_BANTAM_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080428,164,BIZ77_gp015,SEA_BANTAM_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080429,165,BIZ77_gp014,SEA_BANTAM_165,-,-,-,ArdA-like antirestriction protein,protein-coding,-,-,-,ArdA-like antirestriction protein,20200910,-
1887641,29080430,166,BIZ77_gp013,SEA_BANTAM_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080431,167,BIZ77_gp012,SEA_BANTAM_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080432,168,BIZ77_gp011,SEA_BANTAM_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080433,169,BIZ77_gp010,SEA_BANTAM_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080434,170,BIZ77_gp009,SEA_BANTAM_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29080435,2,BIZ77_gp002,SEA_BANTAM_2,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
1887641,29080436,1,BIZ77_gp001,SEA_BANTAM_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887641,29140070,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
