#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2170194,37620024,pol,D1U23_gp2,-,-,-,-,pol protein,protein-coding,-,-,-,pol protein,20181103,-
2170194,37620025,env,D1U23_gp3,-,-,-,-,env protein,protein-coding,-,-,-,env protein,20181103,-
2170194,37620026,bet,D1U23_gp4,-,-,-,-,bet protein,protein-coding,-,-,-,bet protein,20181103,-
2170194,37620027,tas,D1U23_gp5,-,-,-,-,tas protein,protein-coding,-,-,-,tas protein,20181103,-
2170194,37620028,gag,D1U23_gp1,-,-,-,-,gag protein,protein-coding,-,-,-,gag protein,20181103,-
2170194,37630899,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200520,-
