#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1958913,55602136,HWB10_gp02,HWB10_gp02,BSPM4_0002,-,-,-,primase,protein-coding,-,-,-,primase,20210424,-
1958913,55602137,HWB10_gp03,HWB10_gp03,BSPM4_0003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602138,HWB10_gp04,HWB10_gp04,BSPM4_0004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602139,HWB10_gp05,HWB10_gp05,BSPM4_0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602140,HWB10_gp06,HWB10_gp06,BSPM4_0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1958913,55602141,HWB10_gp07,HWB10_gp07,BSPM4_0007,-,-,-,DUF2815 family protein,protein-coding,-,-,-,DUF2815 family protein,20210116,-
1958913,55602142,HWB10_gp08,HWB10_gp08,BSPM4_0008,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210406,-
1958913,55602143,HWB10_gp09,HWB10_gp09,BSPM4_0009,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20210424,-
1958913,55602144,HWB10_gp10,HWB10_gp10,BSPM4_0010,-,-,-,SNF2 domain-containing protein,protein-coding,-,-,-,SNF2 domain-containing protein,20210424,-
1958913,55602145,HWB10_gp11,HWB10_gp11,BSPM4_0011,-,-,-,DUF1441 family protein,protein-coding,-,-,-,DUF1441 family protein,20210116,-
1958913,55602146,HWB10_gp12,HWB10_gp12,BSPM4_0012,-,-,-,terminase large subunit family protein,protein-coding,-,-,-,terminase large subunit family protein,20201221,-
1958913,55602147,HWB10_gp13,HWB10_gp13,BSPM4_0013,-,-,-,putative head-to-tail joining protein W,protein-coding,-,-,-,putative head-to-tail joining protein W,20210116,-
1958913,55602148,HWB10_gp14,HWB10_gp14,BSPM4_0014,-,-,-,putative lambda family portal protein B,protein-coding,-,-,-,putative lambda family portal protein B,20210327,-
1958913,55602149,HWB10_gp15,HWB10_gp15,BSPM4_0015,-,-,-,putative prohead protease ClpP,protein-coding,-,-,-,putative prohead protease ClpP,20210424,-
1958913,55602150,HWB10_gp16,HWB10_gp16,BSPM4_0016,-,-,-,putative decorator protein D,protein-coding,-,-,-,putative decorator protein D,20210417,-
1958913,55602151,HWB10_gp17,HWB10_gp17,BSPM4_0017,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1958913,55602152,HWB10_gp18,HWB10_gp18,BSPM4_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602153,HWB10_gp19,HWB10_gp19,BSPM4_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602154,HWB10_gp20,HWB10_gp20,BSPM4_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602155,HWB10_gp21,HWB10_gp21,BSPM4_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602156,HWB10_gp22,HWB10_gp22,BSPM4_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958913,55602157,HWB10_gp23,HWB10_gp23,BSPM4_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
