#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1582154,26646708,PHICD505_20003,PHICD505_20003,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
1582154,26646709,PHICD505_20004,PHICD505_20004,-,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20200629,-
1582154,26646710,PHICD505_20005,PHICD505_20005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646711,PHICD505_20006,PHICD505_20006,-,-,-,-,DUF2190 family protein,protein-coding,-,-,-,DUF2190 family protein,20210403,-
1582154,26646712,PHICD505_20007,PHICD505_20007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646713,PHICD505_20008,PHICD505_20008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646714,PHICD505_20009,PHICD505_20009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646715,PHICD505_20010,PHICD505_20010,-,-,-,-,conserved exported protein of unknown function,protein-coding,-,-,-,conserved exported protein of unknown function,20200629,-
1582154,26646716,PHICD505_20011,PHICD505_20011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646717,yqzN,PHICD505_20012,-,-,-,-,conserved hypothetical protein; skin element,protein-coding,-,-,-,conserved hypothetical protein|skin element,20200629,-
1582154,26646718,PHICD505_20014,PHICD505_20014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1582154,26646719,PHICD505_20015,PHICD505_20015,-,-,-,-,XkdN-like family protein,protein-coding,-,-,-,XkdN-like family protein,20210212,-
1582154,26646720,PHICD505_20016,PHICD505_20016,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210529,-
1582154,26646721,PHICD505_20017,PHICD505_20017,-,-,-,-,exported protein of unknown function,protein-coding,-,-,-,exported protein of unknown function,20210212,-
1582154,26646722,PHICD505_20018,PHICD505_20018,-,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20210212,-
1582154,26646723,PHICD505_20019,PHICD505_20019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646724,PHICD505_20020,PHICD505_20020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646725,PHICD505_20021,PHICD505_20021,-,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20210212,-
1582154,26646726,PHICD505_20022,PHICD505_20022,-,-,-,-,baseplate J/gp47 family protein,protein-coding,-,-,-,baseplate J/gp47 family protein,20210212,-
1582154,26646727,PHICD505_20023,PHICD505_20023,-,-,-,-,YmfQ family protein,protein-coding,-,-,-,YmfQ family protein,20210212,-
1582154,26646728,PHICD505_20024,PHICD505_20024,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210212,-
1582154,26646729,PHICD505_20025,PHICD505_20025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646730,PHICD505_20026,PHICD505_20026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646731,PHICD505_20027,PHICD505_20027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646732,PHICD505_20028,PHICD505_20028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646733,PHICD505_20029,PHICD505_20029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646734,PHICD505_20030,PHICD505_20030,-,-,-,-,XkdX family protein,protein-coding,-,-,-,XkdX family protein,20201221,-
1582154,26646735,PHICD505_20031,PHICD505_20031,-,-,-,-,glycine rich family protein,protein-coding,-,-,-,glycine rich family protein,20210212,-
1582154,26646736,PHICD505_20032,PHICD505_20032,-,-,-,-,hemolysin XhlA family protein,protein-coding,-,-,-,hemolysin XhlA family protein,20210212,-
1582154,26646737,PHICD505_20033,PHICD505_20033,-,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20210403,-
1582154,26646738,PHICD505_20034,PHICD505_20034,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20200629,-
1582154,26646739,PHICD505_20035,PHICD505_20035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646740,PHICD505_20036,PHICD505_20036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646741,PHICD505_29036,PHICD505_29036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646742,PHICD505_29037,PHICD505_29037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646743,PHICD505_20039,PHICD505_20039,-,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20210212,-
1582154,26646744,PHICD505_20040,PHICD505_20040,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210123,-
1582154,26646745,PHICD505_20041,PHICD505_20041,-,-,-,-,putative cI repressor,protein-coding,-,-,-,putative cI repressor,20200629,-
1582154,26646746,PHICD505_20042,PHICD505_20042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646747,PHICD505_20043,PHICD505_20043,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1582154,26646748,PHICD505_20044,PHICD505_20044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646749,PHICD505_20045,PHICD505_20045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646750,PHICD505_20046,PHICD505_20046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646751,PHICD505_20047,PHICD505_20047,-,-,-,-,putative antirepressor,protein-coding,-,-,-,putative antirepressor,20200629,-
1582154,26646752,PHICD505_20048,PHICD505_20048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646753,PHICD505_20049,PHICD505_20049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646754,PHICD505_20050,PHICD505_20050,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210212,-
1582154,26646755,xis,PHICD505_20051,-,-,-,-,ICEBs1 excisionase,protein-coding,-,-,-,ICEBs1 excisionase,20200629,-
1582154,26646756,PHICD505_20053,PHICD505_20053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646757,PHICD505_20054,PHICD505_20054,-,-,-,-,siphovirus Gp157 family protein,protein-coding,-,-,-,siphovirus Gp157 family protein,20210212,-
1582154,26646758,PHICD505_20055,PHICD505_20055,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20210212,-
1582154,26646759,PHICD505_20056,PHICD505_20056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646760,PHICD505_20057,PHICD505_20057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646761,PHICD505_20058,PHICD505_20058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646762,PHICD505_20059,PHICD505_20059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646763,PHICD505_20060,PHICD505_20060,-,-,-,-,yopX family protein,protein-coding,-,-,-,yopX family protein,20201221,-
1582154,26646764,PHICD505_20061,PHICD505_20061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646765,PHICD505_20062,PHICD505_20062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646766,PHICD505_20063,PHICD505_20063,-,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201221,-
1582154,26646767,PHICD505_20064,PHICD505_20064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646768,PHICD505_20065,PHICD505_20065,-,-,-,-,nucleoid-associated protein,protein-coding,-,-,-,nucleoid-associated protein,20201221,-
1582154,26646769,PHICD505_20066,PHICD505_20066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646770,PHICD505_20067,PHICD505_20067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646771,PHICD505_29067,PHICD505_29067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646772,PHICD505_29068,PHICD505_29068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646773,PHICD505_20070,PHICD505_20070,-,-,-,-,ORF6C domain-containing protein,protein-coding,-,-,-,ORF6C domain-containing protein,20210403,-
1582154,26646774,PHICD505_20071,PHICD505_20071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646775,PHICD505_20072,PHICD505_20072,-,-,-,-,Bro-N domain-containing protein,protein-coding,-,-,-,Bro-N domain-containing protein,20201221,-
1582154,26646776,PHICD505_20037,PHICD505_20037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646777,PHICD505_20038,PHICD505_20038,-,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20210212,-
1582154,26646778,PHICD505_20068,PHICD505_20068,-,-,-,-,RF-1 domain protein,protein-coding,-,-,-,RF-1 domain protein,20210212,-
1582154,26646779,PHICD505_20069,PHICD505_20069,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20210403,-
1582154,26646780,PHICD505_20052,PHICD505_20052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582154,26646781,PHICD505_20002,PHICD505_20002,-,-,-,-,putative terminase B,protein-coding,-,-,-,putative terminase B,20200629,-
1582154,26646782,PHICD505_20013,PHICD505_20013,-,-,-,-,tail sheath subtilisin-like domain-containing protein,protein-coding,-,-,-,tail sheath subtilisin-like domain-containing protein,20210212,-
