#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5082,24703209,nad5,CE93_gp02,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210116,-
5082,24703210,nad4L,CE93_gp03,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210116,-
5082,24703211,trnR(acg),CE93_gt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703212,orf285,CE93_gp19,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
5082,24703213,cox2,CE93_gp18,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20210116,-
5082,24703214,trnD(gtc),CE93_gt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703215,nad3,CE93_gp17,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210116,-
5082,24703216,atp9,CE93_gp16,-,-,MT,-,ATP synthase F0 subunit c,protein-coding,-,-,-,ATP synthase F0 subunit c,20210116,-
5082,24703217,orf372,CE93_gp15,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
5082,24703218,trnH(gtg),CE93_gt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703219,cox1,CE93_gp14,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20210116,-
5082,24703220,trnM(cat),CE93_gt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703221,orf316,CE93_gp13,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
5082,24703222,trnQ(ttg),CE93_gt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703223,trnL(tag),CE93_gt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703224,trnF(gaa),CE93_gt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703225,trnA(tgc),CE93_gt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703226,trnL(taa),CE93_gt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703227,trnM(cat),CE93_gt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703228,trnM(cat),CE93_gt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703229,trnV(tac),CE93_gt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703230,trnE(ttc),CE93_gt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703231,trnT(tgt),CE93_gt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703232,rps3,CE93_gp12,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20210116,-
5082,24703233,trnP(tgg),CE93_gt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703234,trnS(tga),CE93_gt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703235,trnI(gat),CE93_gt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703236,trnW(tca),CE93_gt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703237,trnS(gct),CE93_gt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703238,trnD(gtc),CE93_gt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703239,trnG(tcc),CE93_gt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703240,trnG(acc),CE93_gt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703241,trnK(ttt),CE93_gt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703242,cox3,CE93_gp11,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20210116,-
5082,24703243,nad6,CE93_gp10,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210116,-
5082,24703244,trnY(gta),CE93_gt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703245,rns,CE93_gr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20150702,-
5082,24703246,rnpB,CE93_gs01,-,-,MT,-,ncRNA,ncRNA,-,-,-,-,20150702,-
5082,24703247,atp6,CE93_gp09,-,-,MT,-,ATP synthase F0 subunit a,protein-coding,-,-,-,ATP synthase F0 subunit a,20210116,-
5082,24703248,orf239,CE93_gp08,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
5082,24703249,atp8,CE93_gp07,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20210116,-
5082,24703250,trnN(gtt),CE93_gt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703251,trnR(tct),CE93_gt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703252,nad4,CE93_gp06,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210116,-
5082,24703253,nad1,CE93_gp05,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210116,-
5082,24703254,trnC(gca),CE93_gt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20150702,-
5082,24703255,cob,CE93_gp04,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20210116,-
5082,24703256,nad2,CE93_gp01,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210116,-
5082,62334786,LCP9604111_1,LCP9604111_1,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334787,LCP9604111_10,LCP9604111_10,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5082,62334788,LCP9604111_100,LCP9604111_100,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210116,-
5082,62334789,LCP9604111_1000,LCP9604111_1000,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334790,LCP9604111_1001,LCP9604111_1001,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334791,LCP9604111_1002,LCP9604111_1002,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334792,LCP9604111_1003,LCP9604111_1003,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334793,LCP9604111_1004,LCP9604111_1004,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5082,62334794,LCP9604111_1005,LCP9604111_1005,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334795,LCP9604111_1006,LCP9604111_1006,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334796,LCP9604111_1007,LCP9604111_1007,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334797,LCP9604111_1008,LCP9604111_1008,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334798,LCP9604111_1009,LCP9604111_1009,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210116,-
5082,62334799,LCP9604111_101,LCP9604111_101,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334800,LCP9604111_1010,LCP9604111_1010,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334801,LCP9604111_1011,LCP9604111_1011,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334802,LCP9604111_1012,LCP9604111_1012,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334803,LCP9604111_1013,LCP9604111_1013,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334804,LCP9604111_1014,LCP9604111_1014,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334805,LCP9604111_1015,LCP9604111_1015,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210529,-
5082,62334806,LCP9604111_1016,LCP9604111_1016,-,-,Unknown,-,transcriptional regulator family: DDT,protein-coding,-,-,-,transcriptional regulator family: DDT,20210529,-
