#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
57477,13828923,D307_gp267,D307_gp267,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200908,-
57477,13828924,D307_gp259,D307_gp259,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200908,-
57477,13828925,D307_gt003,D307_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
57477,13828926,D307_gt004,D307_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
57477,13828927,D307_gt005,D307_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
57477,13828928,D307_gt006,D307_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
57477,13828929,D307_gp258,D307_gp258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828930,D307_gp257,D307_gp257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828931,D307_gp266,D307_gp266,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828932,D307_gp1,D307_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828933,D307_gp264,D307_gp264,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828934,D307_gp263,D307_gp263,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828935,D307_gp262,D307_gp262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828936,D307_gp261,D307_gp261,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828937,D307_gp260,D307_gp260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828938,D307_gt001,D307_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
57477,13828939,D307_gt002,D307_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
57477,13828940,D307_gt007,D307_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
57477,13828941,D307_gp256,D307_gp256,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200908,-
57477,13828942,D307_gp255,D307_gp255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828943,D307_gp254,D307_gp254,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200908,-
57477,13828944,D307_gp253,D307_gp253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828945,D307_gp252,D307_gp252,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200908,-
57477,13828946,D307_gp251,D307_gp251,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828947,D307_gp250,D307_gp250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828948,D307_gp249,D307_gp249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828949,D307_gp248,D307_gp248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828950,D307_gp247,D307_gp247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828951,D307_gp246,D307_gp246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828952,D307_gp245,D307_gp245,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200908,-
57477,13828953,D307_gp244,D307_gp244,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200908,-
57477,13828954,D307_gp243,D307_gp243,-,-,-,-,cell-wall-binding protein,protein-coding,-,-,-,cell-wall-binding protein,20200908,-
57477,13828955,D307_gp242,D307_gp242,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200908,-
57477,13828956,D307_gp241,D307_gp241,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20200908,-
57477,13828957,D307_gp240,D307_gp240,-,-,-,-,putative endo-beta-N-acetylglucosaminidase,protein-coding,-,-,-,putative endo-beta-N-acetylglucosaminidase,20200908,-
57477,13828958,D307_gp239,D307_gp239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828959,D307_gp238,D307_gp238,-,-,-,-,minor structural protein/ putative tail fiber,protein-coding,-,-,-,minor structural protein/ putative tail fiber,20200908,-
57477,13828960,D307_gp237,D307_gp237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828961,D307_gp236,D307_gp236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828962,D307_gp235,D307_gp235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828963,D307_gp234,D307_gp234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828964,D307_gp233,D307_gp233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828965,D307_gp232,D307_gp232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828966,D307_gp231,D307_gp231,-,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20200908,-
57477,13828967,D307_gp230,D307_gp230,-,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20200908,-
57477,13828968,D307_gp229,D307_gp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828969,D307_gp228,D307_gp228,-,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20200908,-
57477,13828970,D307_gp227,D307_gp227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828971,D307_gp226,D307_gp226,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200908,-
57477,13828972,D307_gp225,D307_gp225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828973,D307_gp224,D307_gp224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
57477,13828974,D307_gp223,D307_gp223,-,-,-,-,helicase DnaB-like,protein-coding,-,-,-,helicase DnaB-like,20200908,-
