#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2719595,58557345,H6S71_gp02,H6S71_gp02,antinowhere_2,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200919,-
2719595,58557346,H6S71_gp03,H6S71_gp03,antinowhere_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557347,H6S71_gp04,H6S71_gp04,antinowhere_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557348,H6S71_gp05,H6S71_gp05,antinowhere_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557349,H6S71_gp06,H6S71_gp06,antinowhere_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557350,H6S71_gp07,H6S71_gp07,antinowhere_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719595,58557351,H6S71_gp08,H6S71_gp08,antinowhere_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557352,H6S71_gp09,H6S71_gp09,antinowhere_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557353,H6S71_gp10,H6S71_gp10,antinowhere_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557354,H6S71_gp11,H6S71_gp11,antinowhere_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557355,H6S71_gp12,H6S71_gp12,antinowhere_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557356,H6S71_gp13,H6S71_gp13,antinowhere_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2719595,58557357,H6S71_gp14,H6S71_gp14,antinowhere_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719595,58557358,H6S71_gp15,H6S71_gp15,antinowhere_15,-,-,-,minor head protein-like protein,protein-coding,-,-,-,minor head protein-like protein,20210320,-
2719595,58557359,H6S71_gp16,H6S71_gp16,antinowhere_16,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20200912,-
2719595,58557360,H6S71_gp17,H6S71_gp17,antinowhere_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
