#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2719186,58556792,H6S66_gp67,H6S66_gp67,14_00067,-,-,-,3' to 5' DNA exonuclease,protein-coding,-,-,-,3' to 5' DNA exonuclease,20210327,-
2719186,58556793,H6S66_gp56,H6S66_gp56,14_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556794,H6S66_gp50,H6S66_gp50,14_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556795,H6S66_gp29,H6S66_gp29,14_00029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556796,H6S66_gp86,H6S66_gp86,14_00086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556797,H6S66_gp65,H6S66_gp65,14_00065,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200817,-
2719186,58556798,H6S66_gp41,H6S66_gp41,14_00041,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200817,-
2719186,58556799,H6S66_gp55,H6S66_gp55,14_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556800,H6S66_gp33,H6S66_gp33,14_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556801,H6S66_gp14,H6S66_gp14,14_00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556802,H6S66_gp54,H6S66_gp54,14_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719186,58556803,H6S66_gp79,H6S66_gp79,14_00079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556804,H6S66_gp35,H6S66_gp35,14_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556805,H6S66_gp84,H6S66_gp84,14_00084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556806,H6S66_gp69,H6S66_gp69,14_00069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556807,H6S66_gp77,H6S66_gp77,14_00077,-,-,-,TolA protein,protein-coding,-,-,-,TolA protein,20200817,-
2719186,58556808,H6S66_gp24,H6S66_gp24,14_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556809,H6S66_gp71,H6S66_gp71,14_00071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556810,H6S66_gp60,H6S66_gp60,14_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2719186,58556811,H6S66_gp63,H6S66_gp63,14_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556812,H6S66_gp78,H6S66_gp78,14_00078,-,-,-,5' to 3' DNA helicase-like protein,protein-coding,-,-,-,5' to 3' DNA helicase-like protein,20210306,-
2719186,58556813,H6S66_gp51,H6S66_gp51,14_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556814,H6S66_gp30,H6S66_gp30,14_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556815,H6S66_gp81,H6S66_gp81,14_00081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556816,H6S66_gp90,H6S66_gp90,14_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719186,58556817,H6S66_gp53,H6S66_gp53,14_00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2719186,58556818,H6S66_gp58,H6S66_gp58,14_00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
