#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
146654,40870089,psbA,FPH99_pgp001,-,-,-,-,photosystem II protein D1,protein-coding,-,-,-,photosystem II protein D1,20200905,-
146654,40870090,trnK-UUU,FPH99_pgt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
146654,40870091,matK,FPH99_pgp084,-,-,-,-,maturase K,protein-coding,-,-,-,maturase K,20201003,-
146654,40870092,rps16,FPH99_pgp083,-,-,-,-,ribosomal protein S16,protein-coding,-,-,-,ribosomal protein S16,20200905,-
146654,40870093,trnQ-UUG,FPH99_pgt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
146654,40870094,psbK,FPH99_pgp082,-,-,-,-,photosystem II protein K,protein-coding,-,-,-,photosystem II protein K,20200905,-
146654,40870095,psbI,FPH99_pgp081,-,-,-,-,photosystem II protein I,protein-coding,-,-,-,photosystem II protein I,20191025,-
146654,40870096,trnS-GCU,FPH99_pgt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
146654,40870097,psbD,FPH99_pgp080,-,-,-,-,photosystem II protein D2,protein-coding,-,-,-,photosystem II protein D2,20201117,-
146654,40870098,psbC,FPH99_pgp079,-,-,-,-,photosystem II CP43 chlorophyll apoprotein,protein-coding,-,-,-,photosystem II CP43 chlorophyll apoprotein,20200905,-
146654,40870099,trnS-UGA,FPH99_pgt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
146654,40870100,psbZ,FPH99_pgp078,-,-,-,-,photosystem II protein Z,protein-coding,-,-,-,photosystem II protein Z,20191025,-
146654,40870101,trnG-UCC,FPH99_pgt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
146654,40870102,trnfM-CAU,FPH99_pgt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
146654,40870103,trnG-UCC,FPH99_pgt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
146654,40870104,trnT-GGU,FPH99_pgt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
146654,40870105,trnE-UUC,FPH99_pgt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
146654,40870106,trnY-GUA,FPH99_pgt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
146654,40870107,trnD-GUC,FPH99_pgt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
146654,40870108,psbM,FPH99_pgp077,-,-,-,-,photosystem II protein M,protein-coding,-,-,-,photosystem II protein M,20191025,-
146654,40870109,petN,FPH99_pgp076,-,-,-,-,cytochrome b6/f complex subunit VIII,protein-coding,-,-,-,cytochrome b6/f complex subunit VIII,20191025,-
146654,40870110,trnC-GCA,FPH99_pgt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
