#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696375,56134360,H1N95_gp02,H1N95_gp02,aalborv_2,-,-,-,putative DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,putative DNA N-6-adenine-methyltransferase,20210313,-
2696375,56134361,H1N95_gp03,H1N95_gp03,aalborv_3,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20210313,-
2696375,56134362,H1N95_gp04,H1N95_gp04,aalborv_4,-,-,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20210313,-
2696375,56134363,H1N95_gp05,H1N95_gp05,aalborv_5,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210313,-
2696375,56134364,H1N95_gp06,H1N95_gp06,aalborv_6,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210313,-
2696375,56134365,H1N95_gp07,H1N95_gp07,aalborv_7,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20210313,-
2696375,56134366,H1N95_gp08,H1N95_gp08,aalborv_8,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200724,-
2696375,56134367,H1N95_gp09,H1N95_gp09,aalborv_9,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210313,-
2696375,56134368,H1N95_gp10,H1N95_gp10,aalborv_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134369,H1N95_gp11,H1N95_gp11,aalborv_11,-,-,-,putative exodeoxyribonuclease VIII,protein-coding,-,-,-,putative exodeoxyribonuclease VIII,20210313,-
2696375,56134370,H1N95_gp12,H1N95_gp12,aalborv_12,-,-,-,super-infection exclusion protein,protein-coding,-,-,-,super-infection exclusion protein,20210313,-
2696375,56134371,H1N95_gp13,H1N95_gp13,aalborv_13,-,-,-,putative membrane associated protein,protein-coding,-,-,-,putative membrane associated protein,20200724,-
2696375,56134372,H1N95_gp14,H1N95_gp14,aalborv_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134373,H1N95_gp15,H1N95_gp15,aalborv_15,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210313,-
2696375,56134374,H1N95_gp16,H1N95_gp16,aalborv_16,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210313,-
2696375,56134375,H1N95_gp17,H1N95_gp17,aalborv_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210313,-
2696375,56134376,H1N95_gp18,H1N95_gp18,aalborv_18,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210313,-
2696375,56134377,H1N95_gp19,H1N95_gp19,aalborv_19,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210313,-
2696375,56134378,H1N95_gp20,H1N95_gp20,aalborv_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696375,56134379,H1N95_gp21,H1N95_gp21,aalborv_21,-,-,-,TfmS,protein-coding,-,-,-,TfmS,20200905,-
2696375,56134380,H1N95_gp22,H1N95_gp22,aalborv_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210313,-
2696375,56134381,H1N95_gp23,H1N95_gp23,aalborv_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210313,-
2696375,56134382,H1N95_gp24,H1N95_gp24,aalborv_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134383,H1N95_gp25,H1N95_gp25,aalborv_25,-,-,-,ribonucleoside-triphosphate reductase,protein-coding,-,-,-,ribonucleoside-triphosphate reductase,20200724,-
2696375,56134384,H1N95_gp26,H1N95_gp26,aalborv_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696375,56134385,H1N95_gp27,H1N95_gp27,aalborv_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696375,56134386,H1N95_gp28,H1N95_gp28,aalborv_28,-,-,-,MCP protein,protein-coding,-,-,-,MCP protein,20210313,-
2696375,56134387,H1N95_gp29,H1N95_gp29,aalborv_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
