#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852640,40092475,FDI76_gp084,FDI76_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092476,FDI76_gp085,FDI76_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092477,FDI76_gp086,FDI76_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092478,FDI76_gp087,FDI76_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092479,FDI76_gp088,FDI76_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092480,FDI76_gp089,FDI76_gp089,-,-,-,-,DNA repair protein RecN,protein-coding,-,-,-,DNA repair protein RecN,20201221,-
1852640,40092481,FDI76_gp090,FDI76_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092482,FDI76_gp091,FDI76_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092483,FDI76_gp092,FDI76_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092484,FDI76_gt001,FDI76_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852640,40092485,FDI76_gt004,FDI76_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852640,40092486,FDI76_gp191,FDI76_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092487,FDI76_gp190,FDI76_gp190,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201221,-
1852640,40092488,FDI76_gp189,FDI76_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092489,FDI76_gp188,FDI76_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092490,FDI76_gp187,FDI76_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092491,FDI76_gp186,FDI76_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092492,FDI76_gp185,FDI76_gp185,-,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20201221,-
1852640,40092493,FDI76_gp184,FDI76_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092494,FDI76_gp183,FDI76_gp183,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20201221,-
1852640,40092495,FDI76_gp182,FDI76_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092496,FDI76_gp181,FDI76_gp181,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20200629,-
1852640,40092497,FDI76_gp180,FDI76_gp180,-,-,-,-,virulence-associated VriC protein,protein-coding,-,-,-,virulence-associated VriC protein,20201010,-
1852640,40092498,FDI76_gp179,FDI76_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092499,FDI76_gp178,FDI76_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092500,FDI76_gp177,FDI76_gp177,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201010,-
1852640,40092501,FDI76_gp176,FDI76_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092502,FDI76_gp175,FDI76_gp175,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1852640,40092503,FDI76_gp174,FDI76_gp174,-,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20201010,-
1852640,40092504,FDI76_gp173,FDI76_gp173,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20201010,-
1852640,40092505,FDI76_gp172,FDI76_gp172,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20201221,-
1852640,40092506,FDI76_gp171,FDI76_gp171,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201221,-
1852640,40092507,FDI76_gp170,FDI76_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092508,FDI76_gp169,FDI76_gp169,-,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20201010,-
1852640,40092509,FDI76_gp168,FDI76_gp168,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20201221,-
1852640,40092510,FDI76_gp167,FDI76_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092511,FDI76_gp166,FDI76_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092512,FDI76_gp165,FDI76_gp165,-,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20201010,-
1852640,40092513,FDI76_gp164,FDI76_gp164,-,-,-,-,prohead assembly protein,protein-coding,-,-,-,prohead assembly protein,20201221,-
1852640,40092514,FDI76_gp163,FDI76_gp163,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201010,-
1852640,40092515,FDI76_gp162,FDI76_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092516,FDI76_gp161,FDI76_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092517,FDI76_gp160,FDI76_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092518,FDI76_gp159,FDI76_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092519,FDI76_gp158,FDI76_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092520,FDI76_gp157,FDI76_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092521,FDI76_gp156,FDI76_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092522,FDI76_gp155,FDI76_gp155,-,-,-,-,putative GTP-binding protein,protein-coding,-,-,-,putative GTP-binding protein,20201010,-
1852640,40092523,FDI76_gp154,FDI76_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092524,FDI76_gp153,FDI76_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092525,FDI76_gp152,FDI76_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092526,FDI76_gp151,FDI76_gp151,-,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20201010,-
1852640,40092527,FDI76_gp150,FDI76_gp150,-,-,-,-,putative DNA repair/recombination protein UvsY,protein-coding,-,-,-,putative DNA repair/recombination protein UvsY,20201010,-
1852640,40092528,FDI76_gp149,FDI76_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092529,FDI76_gp148,FDI76_gp148,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201010,-
1852640,40092530,FDI76_gp147,FDI76_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092531,FDI76_gp146,FDI76_gp146,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20201010,-
1852640,40092532,FDI76_gp145,FDI76_gp145,-,-,-,-,replication factor C small subunit,protein-coding,-,-,-,replication factor C small subunit,20201010,-
1852640,40092533,FDI76_gp144,FDI76_gp144,-,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20201221,-
1852640,40092534,FDI76_gp143,FDI76_gp143,-,-,-,-,translational repressor RegA,protein-coding,-,-,-,translational repressor RegA,20201221,-
1852640,40092535,FDI76_gp142,FDI76_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092536,FDI76_gp141,FDI76_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092537,FDI76_gp140,FDI76_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092538,FDI76_gp139,FDI76_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092539,FDI76_gp138,FDI76_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092540,FDI76_gp137,FDI76_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092541,FDI76_gp136,FDI76_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092542,FDI76_gp135,FDI76_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092543,FDI76_gp134,FDI76_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092544,FDI76_gp133,FDI76_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092545,FDI76_gp132,FDI76_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092546,FDI76_gp131,FDI76_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092547,FDI76_gp130,FDI76_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092548,FDI76_gp129,FDI76_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092549,FDI76_gp128,FDI76_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092550,FDI76_gp127,FDI76_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092551,FDI76_gp126,FDI76_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092552,FDI76_gp125,FDI76_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092553,FDI76_gp124,FDI76_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092554,FDI76_gp123,FDI76_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852640,40092555,FDI76_gp122,FDI76_gp122,-,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20201010,-
