#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1636546,26641089,AVT54_gp002,AVT54_gp002,TIN3_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200910,-
1636546,26641090,AVT54_gp003,AVT54_gp003,TIN3_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641091,AVT54_gp004,AVT54_gp004,TIN3_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641092,AVT54_gp005,AVT54_gp005,TIN3_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641093,AVT54_gp006,AVT54_gp006,TIN3_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641094,AVT54_gp007,AVT54_gp007,TIN3_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641095,AVT54_gp008,AVT54_gp008,TIN3_8,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200910,-
1636546,26641096,AVT54_gp009,AVT54_gp009,TIN3_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641097,AVT54_gp010,AVT54_gp010,TIN3_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641098,AVT54_gp011,AVT54_gp011,TIN3_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641099,AVT54_gp012,AVT54_gp012,TIN3_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641100,AVT54_gp013,AVT54_gp013,TIN3_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641101,AVT54_gp014,AVT54_gp014,TIN3_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641102,AVT54_gp015,AVT54_gp015,TIN3_15,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200910,-
1636546,26641103,AVT54_gt001,AVT54_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1636546,26641104,AVT54_gp107,AVT54_gp107,TIN3_18,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20200910,-
1636546,26641105,AVT54_gp109,AVT54_gp109,TIN3_16,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20200910,-
1636546,26641106,AVT54_gp106,AVT54_gp106,TIN3_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641107,AVT54_gp105,AVT54_gp105,TIN3_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641108,AVT54_gp104,AVT54_gp104,TIN3_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641109,AVT54_gp103,AVT54_gp103,TIN3_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641110,AVT54_gp102,AVT54_gp102,TIN3_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641111,AVT54_gp101,AVT54_gp101,TIN3_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641112,AVT54_gp100,AVT54_gp100,TIN3_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641113,AVT54_gp099,AVT54_gp099,TIN3_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641114,AVT54_gp098,AVT54_gp098,TIN3_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641115,AVT54_gp097,AVT54_gp097,TIN3_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641116,AVT54_gp096,AVT54_gp096,TIN3_29,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20200910,-
1636546,26641117,AVT54_gp095,AVT54_gp095,TIN3_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641118,AVT54_gp094,AVT54_gp094,TIN3_31,-,-,-,putative peptidase,protein-coding,-,-,-,putative peptidase,20200910,-
1636546,26641119,AVT54_gp093,AVT54_gp093,TIN3_32,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200910,-
1636546,26641120,AVT54_gp092,AVT54_gp092,TIN3_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641121,AVT54_gp091,AVT54_gp091,TIN3_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641122,AVT54_gp090,AVT54_gp090,TIN3_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641123,AVT54_gp089,AVT54_gp089,TIN3_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641124,AVT54_gp088,AVT54_gp088,TIN3_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641125,AVT54_gp087,AVT54_gp087,TIN3_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641126,AVT54_gp086,AVT54_gp086,TIN3_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641127,AVT54_gp085,AVT54_gp085,TIN3_40,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200910,-
1636546,26641128,AVT54_gp084,AVT54_gp084,TIN3_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641129,AVT54_gp083,AVT54_gp083,TIN3_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641130,AVT54_gp082,AVT54_gp082,TIN3_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641131,AVT54_gp081,AVT54_gp081,TIN3_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641132,AVT54_gp080,AVT54_gp080,TIN3_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641133,AVT54_gp079,AVT54_gp079,TIN3_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641134,AVT54_gp078,AVT54_gp078,TIN3_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641135,AVT54_gp077,AVT54_gp077,TIN3_48,-,-,-,DNA polymerase III beta subunit,protein-coding,-,-,-,DNA polymerase III beta subunit,20200910,-
1636546,26641136,AVT54_gp076,AVT54_gp076,TIN3_49,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200910,-
1636546,26641137,AVT54_gp075,AVT54_gp075,TIN3_50,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200910,-
1636546,26641138,AVT54_gp074,AVT54_gp074,TIN3_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641139,AVT54_gp073,AVT54_gp073,TIN3_52,-,-,-,helicase,protein-coding,-,-,-,helicase,20200910,-
1636546,26641140,AVT54_gp072,AVT54_gp072,TIN3_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641141,AVT54_gp071,AVT54_gp071,TIN3_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641142,AVT54_gp070,AVT54_gp070,TIN3_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641143,AVT54_gp069,AVT54_gp069,TIN3_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641144,AVT54_gp068,AVT54_gp068,TIN3_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641145,AVT54_gp067,AVT54_gp067,TIN3_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641146,AVT54_gp066,AVT54_gp066,TIN3_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641147,AVT54_gp065,AVT54_gp065,TIN3_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641148,AVT54_gp064,AVT54_gp064,TIN3_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641149,AVT54_gp063,AVT54_gp063,TIN3_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641150,AVT54_gp062,AVT54_gp062,TIN3_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641151,AVT54_gp061,AVT54_gp061,TIN3_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641152,AVT54_gp060,AVT54_gp060,TIN3_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641153,AVT54_gp059,AVT54_gp059,TIN3_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641154,AVT54_gp058,AVT54_gp058,TIN3_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641155,AVT54_gp057,AVT54_gp057,TIN3_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641156,AVT54_gp056,AVT54_gp056,TIN3_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641157,AVT54_gp055,AVT54_gp055,TIN3_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641158,AVT54_gp054,AVT54_gp054,TIN3_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641159,AVT54_gp053,AVT54_gp053,TIN3_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641160,AVT54_gp052,AVT54_gp052,TIN3_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641161,AVT54_gp051,AVT54_gp051,TIN3_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641162,AVT54_gp050,AVT54_gp050,TIN3_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641163,AVT54_gp049,AVT54_gp049,TIN3_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641164,AVT54_gp048,AVT54_gp048,TIN3_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641165,AVT54_gp047,AVT54_gp047,TIN3_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641166,AVT54_gp046,AVT54_gp046,TIN3_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641167,AVT54_gp045,AVT54_gp045,TIN3_80,-,-,-,ATPase family protein,protein-coding,-,-,-,ATPase family protein,20200910,-
1636546,26641168,AVT54_gp044,AVT54_gp044,TIN3_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641169,AVT54_gp043,AVT54_gp043,TIN3_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641170,AVT54_gp041,AVT54_gp041,TIN3_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641171,AVT54_gp040,AVT54_gp040,TIN3_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641172,AVT54_gp039,AVT54_gp039,TIN3_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641173,AVT54_gp038,AVT54_gp038,TIN3_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641174,AVT54_gp037,AVT54_gp037,TIN3_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641175,AVT54_gp036,AVT54_gp036,TIN3_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641176,AVT54_gp035,AVT54_gp035,TIN3_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641177,AVT54_gp034,AVT54_gp034,TIN3_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641178,AVT54_gp033,AVT54_gp033,TIN3_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641179,AVT54_gp032,AVT54_gp032,TIN3_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641180,AVT54_gp031,AVT54_gp031,TIN3_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641181,AVT54_gp030,AVT54_gp030,TIN3_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641182,AVT54_gp029,AVT54_gp029,TIN3_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641183,AVT54_gp028,AVT54_gp028,TIN3_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641184,AVT54_gp027,AVT54_gp027,TIN3_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641185,AVT54_gp025,AVT54_gp025,TIN3_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641186,AVT54_gp024,AVT54_gp024,TIN3_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641187,AVT54_gp023,AVT54_gp023,TIN3_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641188,AVT54_gp022,AVT54_gp022,TIN3_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641189,AVT54_gp021,AVT54_gp021,TIN3_104,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20200910,-
1636546,26641190,AVT54_gp020,AVT54_gp020,TIN3_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641191,AVT54_gp019,AVT54_gp019,TIN3_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641192,AVT54_gp018,AVT54_gp018,TIN3_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641193,AVT54_gp017,AVT54_gp017,TIN3_108,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200910,-
1636546,26641194,AVT54_gp016,AVT54_gp016,TIN3_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641195,AVT54_gp042,AVT54_gp042,TIN3_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641196,AVT54_gp026,AVT54_gp026,TIN3_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636546,26641197,AVT54_gp108,AVT54_gp108,TIN3_17,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20200910,-
1636546,26641198,AVT54_gp001,AVT54_gp001,TIN3_1,-,-,-,putative small terminase subunit,protein-coding,-,-,-,putative small terminase subunit,20200910,-
1636546,26680792,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
