#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1069201,38573598,cob,EJ508_mgp01,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20210417,-
1069201,38573599,atp9,EJ508_mgp07,-,-,MT,-,ATP synthase subunit 9,protein-coding,-,-,-,ATP synthase subunit 9,20210417,-
1069201,38573600,nad2,EJ508_mgp02,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210424,-
1069201,38573601,EJ508_mgt02,EJ508_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573602,EJ508_mgt01,EJ508_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573603,orf1,EJ508_mgp15,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181231,-
1069201,38573604,orf2,EJ508_mgp14,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181231,-
1069201,38573605,EJ508_mgt06,EJ508_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573606,EJ508_mgt04,EJ508_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573607,EJ508_mgt26,EJ508_mgt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1069201,38573608,nad4,EJ508_mgp13,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210424,-
1069201,38573609,cox3,EJ508_mgp09,-,-,MT,-,cytochrome oxidase subunit 3,protein-coding,-,-,-,cytochrome oxidase subunit 3,20210424,-
1069201,38573610,nad3,EJ508_mgp06,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210424,-
1069201,38573611,cox2,EJ508_mgp05,-,-,MT,-,cytochrome oxidase subunit 2,protein-coding,-,-,-,cytochrome oxidase subunit 2,20210424,-
1069201,38573612,nad5,EJ508_mgp03,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210424,-
1069201,38573613,atp6,EJ508_mgp11,-,-,MT,-,ATP synthase subunit 6,protein-coding,-,-,-,ATP synthase subunit 6,20210424,-
